segment,timestamp_iso,timestamp_unix,left_x,left_y,left_z,left_roll,left_pitch,left_yaw,left_speed,right_x,right_y,right_z,right_roll,right_pitch,right_yaw,right_speed,left_extrude_mm,left_extrude_feedrate,right_extrude_mm,right_extrude_feedrate,turntable_angle,turntable_rel_angle,turntable_speed,status
1,2026-05-10T13:47:25.645000+00:00,1778420845.644999,200,-50,100,180,0,0,0,200,50,100,180,0,0,0,0.0,0.0,0.0,0.0,,,,OK
2,2026-05-10T13:47:25.645224+00:00,1778420845.6452227,300,-50,100,180,0,0,0,300,50,100,180,0,0,0,10,5,10,5,,,,OK
3,2026-05-10T13:47:25.645376+00:00,1778420845.645376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90,,20,OK
4,2026-05-10T13:47:25.645627+00:00,1778420845.6456265,200,-50,100,180,0,0,0,200,50,100,180,0,0,0,8,4.5,8,4.5,,,,OK
